field_size_x, field_size_y, cell_volume, cell_density, barrier_density, simulation_nr, number_of_cells, mean_speed, mean_xdir, mean_ydir, avg_group_velocity
300,300,200,1,0,0,3,0.2576856324119596,0.0011443568691844445,0.0335832183908047,0.14684856421725365
300,300,200,1,2,0,3,0.2686285377836584,-0.06975183006535944,-0.033211111111111205,0.16314271768687785
300,300,200,1,3,0,0,NaN,NaN,NaN,NaN
300,300,200,1,4,0,3,0.27239274515106116,0.0584822149965514,0.05609009097776464,0.16383862403885938
300,300,200,1,5,0,0,NaN,NaN,NaN,NaN
300,300,200,1,6,0,3,0.2764188858549407,-0.017168265582655714,0.014019571178064783,0.13225528491275285
300,300,200,1,7,0,0,NaN,NaN,NaN,NaN
300,300,200,1,8,0,3,0.258205735922473,-0.06596902519520237,-0.07490338887547282,0.15903634915293055
300,300,200,1,9,0,0,NaN,NaN,NaN,NaN
300,300,200,1,10,0,3,0.22789356517377937,-0.0441404155692128,0.03899867720222414,0.11729072144231087
300,300,200,1,11,0,0,NaN,NaN,NaN,NaN
300,300,200,1,12,0,3,0.23926128853134943,-0.014350551165739914,0.02674141059408845,0.135445914139851
300,300,200,1,13,0,0,NaN,NaN,NaN,NaN
300,300,200,1,14,0,3,0.24671463269791885,-0.015979366388497177,-0.037603363160430836,0.15875635035289853
300,300,200,1,15,0,3,0.15236221816274084,0.02553097844112773,0.0709909121061359,0.11301756196931226
300,300,200,2,0,0,8,0.27854488868507477,0.017219582187687668,0.04381444468664601,0.09243794115674157
300,300,200,2,1,0,8,0.275963375980122,0.008060597873608846,0.056400876245316554,0.0937823664912987
300,300,200,2,3,0,8,0.2711450913052352,-0.03427378297336972,0.08472412671823193,0.11647273969758616
300,300,200,2,4,0,8,0.25994226246062646,0.007601028611097407,-0.05255511481979769,0.09309873658996179
300,300,200,2,5,0,0,NaN,NaN,NaN,NaN
300,300,200,2,6,0,8,0.26511087302169395,-0.015536813957472312,-0.052215670535414815,0.09656352586181081
300,300,200,2,7,0,8,0.2518168923285286,0.03920407437625106,-0.03677227228942111,0.09848819939242716
300,300,200,2,8,0,0,NaN,NaN,NaN,NaN
300,300,200,2,9,0,8,0.24314462352112293,-0.00356493077258363,0.01992798745403223,0.10098933518550937
300,300,200,2,10,0,8,0.24399084497949308,-0.05776496139138747,-0.02902158886957281,0.10719657953298752
300,300,200,2,11,0,0,NaN,NaN,NaN,NaN
300,300,200,2,12,0,8,0.22416641217984673,-0.02598040001290201,-0.003921033648327179,0.07375714811998783
300,300,200,2,13,0,6,0.2533223313807014,-0.0004176606874160569,0.0007257591809439274,0.1079420000876489
300,300,200,2,14,0,0,NaN,NaN,NaN,NaN
300,300,200,2,15,0,5,0.16510370980909422,0.025198259591123092,0.010335761528588573,0.0737456467231091
300,300,200,3,0,0,15,0.25849818355775567,-0.006406149537353314,-0.005330271059197333,0.06355875886777798
300,300,200,3,1,0,12,0.2646824574426398,-0.023797211771050118,0.03337132111593569,0.07324471520675326
300,300,200,3,2,0,15,0.270382152983541,0.000024510569750258366,-0.018224002761963582,0.07236405794449967
300,300,200,3,4,0,15,0.26346800058353526,-0.00991410048610484,0.04547304125943869,0.07265589283419414
300,300,200,3,5,0,12,0.2646509196950357,-0.028429830430041797,0.010301204434141106,0.07937673429851104
300,300,200,3,6,0,15,0.2571248299050027,0.006959494029680238,-0.07333091717137989,0.08866679378599698
300,300,200,3,7,0,0,NaN,NaN,NaN,NaN
300,300,200,3,8,0,15,0.2589321944768317,-0.043453070557977765,0.009255542759979814,0.067945737181774
300,300,200,3,9,0,12,0.2476918161582732,-0.03355300641886847,-0.01623725269324958,0.08665710023408717
300,300,200,3,10,0,15,0.2693850857119673,0.019569865100356746,0.016178160173868247,0.060891450973322395
300,300,200,3,11,0,0,NaN,NaN,NaN,NaN
300,300,200,3,12,0,13,0.24058439452882763,-0.008536809760397446,-0.014589168506636675,0.053836941681822376
300,300,200,3,13,0,12,0.2373044031871302,-0.04052101183541114,-0.005368251752864198,0.08788750906122908
300,300,200,3,14,0,11,0.2305477341348105,-0.025287348682138132,-0.002737975790106247,0.06692365885449969
300,300,200,3,15,0,12,0.17212620443505613,0.001171423846321041,0.006559354537212527,0.05397507485492902
300,300,200,4,0,0,24,0.26565079349537774,0.00044300909421406744,-0.054922549389510474,0.0685912766249957
300,300,200,4,1,0,24,0.26466293869681246,0.04131069935597611,0.009074785795735188,0.06623250829869928
300,300,200,4,2,0,24,0.2717897228269857,0.025062848662411572,-0.0012436768456306098,0.049933111088249424
300,300,200,4,3,0,24,0.2610607366626683,0.023031983237222838,-0.02501613410792176,0.06306154871325266
300,300,200,4,5,0,24,0.26597380812859717,-0.036450695004875903,-0.001441601732715342,0.05675642166012259
300,300,200,4,6,0,24,0.26329652069557413,-0.040158514938965995,-0.0017994334961286237,0.05354767652980207
300,300,200,4,7,0,22,0.2647763009772819,-0.023423612285268035,0.020945274300304906,0.06746475761476241
300,300,200,4,8,0,24,0.26439891777675645,0.012915576139653643,-0.025570455532411593,0.052414906731291004
300,300,200,4,9,0,0,NaN,NaN,NaN,NaN
300,300,200,4,10,0,21,0.2566396823801992,-0.010908136577423488,0.0076682939639189426,0.054998767257609424
300,300,200,4,11,0,20,0.24952830044385532,0.01157058211367072,0.0038182335465421946,0.05122466079988432
