field_size_x, field_size_y, cell_volume, cell_density, barrier_density, simulation_nr, number_of_cells, mean_speed, mean_xdir, mean_ydir, avg_group_velocity
300,300,200,1,2,1,3,0.2148977898001998,-0.04800266767549154,-0.04332775767266021,0.10937787916542795
300,300,200,1,3,0,0,NaN,NaN,NaN,NaN
300,300,200,1,3,1,0,NaN,NaN,NaN,NaN
300,300,200,1,4,0,3,0.21320043901091215,-0.04916898926371964,-0.11983624957759113,0.1590250843722272
300,300,200,1,4,1,3,0.20873148546334971,-0.038687853390693125,-0.029204958862413224,0.10995365480990218
300,300,200,1,5,0,0,NaN,NaN,NaN,NaN
300,300,200,1,5,1,0,NaN,NaN,NaN,NaN
300,300,200,1,6,0,3,0.2097789893988744,-0.06530809851843458,-0.022866798626830328,0.11815987693546103
300,300,200,1,6,1,3,0.21152777251534297,-0.11595904568724034,-0.006273060948517401,0.15105639808547663
300,300,200,1,7,0,0,NaN,NaN,NaN,NaN
300,300,200,1,7,1,0,NaN,NaN,NaN,NaN
300,300,200,1,8,0,3,0.2065619586523331,-0.006483134066634814,0.002001307189542563,0.1006090644731287
300,300,200,1,0,0,3,0.21322102370108328,0.028579324104440165,0.12505949247702097,0.1521549960709996
300,300,200,1,9,0,0,NaN,NaN,NaN,NaN
300,300,200,1,9,1,0,NaN,NaN,NaN,NaN
300,300,200,1,10,0,3,0.2157831008318072,0.04139090405411145,-0.025313750857635684,0.10870758165072775
300,300,200,1,10,1,3,0.20535306160616232,-0.03380620335490519,-0.01707771338420418,0.10272918743515792
300,300,200,1,11,0,0,NaN,NaN,NaN,NaN
300,300,200,1,11,1,0,NaN,NaN,NaN,NaN
300,300,200,1,12,0,3,0.20561842702200364,0.05428541367766625,0.059072612784951344,0.11636052133718172
300,300,200,1,12,1,3,0.1976169940340887,-0.0014406877861880111,-0.07912590812607642,0.13727649212509443
300,300,200,1,13,0,0,NaN,NaN,NaN,NaN
300,300,200,1,13,1,0,NaN,NaN,NaN,NaN
300,300,200,1,14,0,3,0.19476808981128182,0.03841344146877479,-0.019312452524040062,0.11000427348718635
300,300,200,1,14,1,3,0.20291930950833784,-0.031246838990009643,0.049002241372052585,0.14323112372512306
300,300,200,1,15,0,3,0.15245968329603682,0.05559858166091709,0.016275775016776007,0.09213951141601594
300,300,200,1,15,1,3,0.16525357967025564,0.05979801970539457,0.009491269144473732,0.09651895655355226
300,300,200,2,0,0,8,0.21360145584311221,-0.021270830318352023,0.058830347420651456,0.08380277998770615
300,300,200,2,0,1,8,0.2109455375207975,0.04075123906414619,0.048291964351225965,0.08471809858514903
300,300,200,2,1,0,8,0.210957418424709,0.04235955366269945,0.021028379703485697,0.06893544347163212
300,300,200,2,1,1,8,0.21030476472947862,0.02059469522639227,0.0016780792518897405,0.0547525662334005
300,300,200,2,3,0,8,0.2086791195626187,-0.04847252046315031,0.06375964242604545,0.0998602517599898
300,300,200,2,3,1,8,0.21683503014254948,-0.049908812571949034,0.06477386871059922,0.09639525928583445
300,300,200,2,4,0,8,0.21252600120793724,-0.05460016346658998,-0.025078955004906832,0.08649536378723621
300,300,200,2,4,1,8,0.2134391088706957,0.023236282729905824,-0.03532996363856087,0.07292857927852801
300,300,200,2,5,0,0,NaN,NaN,NaN,NaN
300,300,200,2,5,1,0,NaN,NaN,NaN,NaN
300,300,200,2,6,0,8,0.20768545627750057,-0.014618734061794933,-0.07313030000043602,0.08832680839672999
300,300,200,2,6,1,8,0.19484932773574806,0.02076950984514915,-0.09253973203242608,0.110992654557519
300,300,200,1,8,1,3,0.20755560399794085,0.05164855302774146,-0.03981125247548659,0.11138298769920565
300,300,200,1,0,1,3,0.20389436287129312,0.0859512620747767,0.01395993785234868,0.1175344356683334
300,300,200,2,8,0,0,NaN,NaN,NaN,NaN
300,300,200,2,8,1,0,NaN,NaN,NaN,NaN
300,300,200,2,7,0,8,0.19529100958755413,-0.015340395833919681,0.002530909098188073,0.05404683836068822
300,300,200,2,9,1,8,0.2061090998417574,-0.00294833462032006,0.021945606165787335,0.06321765833717856
300,300,200,2,10,0,8,0.21207054408126463,0.028518827849311975,0.057871367309986384,0.08773321407716683
300,300,200,2,10,1,8,0.21211684037219677,-0.01970565048224222,0.0069376708026661245,0.05988698276863439
300,300,200,2,11,0,0,NaN,NaN,NaN,NaN
300,300,200,2,11,1,0,NaN,NaN,NaN,NaN
300,300,200,2,12,0,8,0.2103405302068871,0.04024600297895954,0.026059398625392773,0.08625218493573966
300,300,200,2,12,1,8,0.19744340100073296,0.007578124744374959,-0.05112951707866483,0.07800047903678631
300,300,200,2,13,0,6,0.19680862614072342,-0.0017569013684909725,0.003390578989739144,0.06715962474779924
300,300,200,2,13,1,6,0.18367384784515767,-0.03912432779484853,-0.01825695434814421,0.0753240781271572
300,300,200,2,14,0,0,NaN,NaN,NaN,NaN
300,300,200,2,14,1,0,NaN,NaN,NaN,NaN
