cell_volume, cell_density, barrier_density, simulation_nr, number_of_cells, mean_speed, mean_xdir, mean_ydir, avg_group_velocity
200,1,0,0,3,0.28897117609586254,-0.056960620205746985,0.13138976138993194,0.1968662484145362
200,1,2,0,3,0.2622166554932183,-0.09326489310262318,-0.02368205675338926,0.15422596504152383
200,1,3,0,0,NaN,NaN,NaN,NaN
200,1,4,0,3,0.25993578982651233,-0.06290817365318616,-0.07834476134180585,0.15183586535771015
200,1,5,0,0,NaN,NaN,NaN,NaN
200,1,6,0,3,0.25233932415849053,-0.0628609307314243,0.052952988457365596,0.12743839448388752
200,1,7,0,0,NaN,NaN,NaN,NaN
200,1,8,0,3,0.2197662743574218,-0.0024655471386784648,0.019523605173462712,0.12778480974101003
200,1,9,0,0,NaN,NaN,NaN,NaN
200,1,10,0,3,0.20312114908717774,0.022500971170420544,0.03386697783659689,0.1304557915906805
200,2,0,0,8,0.2664554511969242,-0.016978517469904558,-0.013480761135744142,0.08003296110507932
200,2,1,0,8,0.2791246345897533,0.01391719259660085,-0.0035039906220754543,0.07641886630185715
200,2,3,0,8,0.2758827335575557,-0.018958174515410056,0.0462855432061938,0.08375238915036966
200,2,5,0,0,NaN,NaN,NaN,NaN
200,2,4,0,8,0.26467342731908466,0.019925925966978987,0.008402609395022036,0.08363767666780457
200,2,6,0,8,0.2723142584865218,0.020233947639622118,-0.018101765636519575,0.08538791675257394
200,2,7,0,8,0.24155269346759495,-0.004553600448161696,-0.005107729924435123,0.08381769160779941
200,2,8,0,0,NaN,NaN,NaN,NaN
200,2,9,0,8,0.23498233206959795,0.007386113181255314,0.05325325788190006,0.08748043582653313
200,2,10,0,8,0.1965351345696472,0.015383189545871666,0.0063394407486419176,0.070000297089994
200,3,0,0,15,0.2693568750657018,0.0061887145090494845,0.04389378838355588,0.07244717497394725
200,3,1,0,12,0.28213046523330415,0.0025734481243701473,0.004505182475253299,0.06006526860029595
200,3,2,0,15,0.2719376977619926,0.04204817564541029,0.04232550552311832,0.08313945191071606
200,3,4,0,15,0.26391313405738887,0.03116456295565976,0.031811821270772436,0.0809327752841206
200,3,5,0,12,0.26696197485670126,-0.0028317401547961947,0.0015394113842882031,0.06697021017682801
200,3,6,0,15,0.25279737104351135,0.01805376163206315,0.03740383035278613,0.06319055831353028
200,3,7,0,0,NaN,NaN,NaN,NaN
200,3,8,0,13,0.2592359643326131,-0.015684949030632375,0.01933135313766723,0.05865848698979842
200,3,9,0,12,0.24281051562739125,-0.02293165784427281,-0.05089049679862209,0.08393159644333154
200,3,10,0,11,0.21198126135770767,-0.018894816315741875,-0.0030631836251216534,0.0679908536656706
200,4,0,0,24,0.2663770000872658,-0.011500319857047185,-0.02655984976566818,0.05558684326531294
200,4,1,0,24,0.26827134062197106,-0.0416930312970153,0.016491606014465383,0.061458065505385406
200,4,2,0,24,0.27179270146321033,0.011639746153639054,0.03439567464074473,0.05389585988888323
200,4,3,0,24,0.26785962259790375,0.0014845831500170906,0.002747779786110672,0.04256798168078747
200,4,5,0,24,0.26005344262508184,0.03005141791036373,0.035846649587879406,0.06524619283335703
200,4,6,0,24,0.2570313786124821,-0.00925982342350195,-0.0050953570462015565,0.04493089686879854
200,4,7,0,22,0.254604629633336,-0.022074892194041563,0.003742548819171731,0.054972872115524686
200,4,8,0,22,0.24733719362397935,0.032688433030205466,-0.010685007637815448,0.05477016867037388
200,4,9,0,0,NaN,NaN,NaN,NaN
200,4,10,0,17,0.20477098670494454,-0.014298222578814667,0.006714655957616663,0.05751834267036808
200,5,0,0,35,0.2598351910220499,-0.025047525263403793,-0.01960085782331621,0.042304240054353195
200,5,1,0,32,0.26513731175893374,-0.00873929525749472,0.028247358371934005,0.04764702631464612
200,5,2,0,27,0.2639995228444409,-0.005021538950319895,0.038094615010512096,0.05729171173250694
200,5,3,0,32,0.25516792114749437,0.0187368317492545,-0.005599109431079471,0.048492905059687036
200,5,4,0,35,0.26610566187898943,-0.03779954095679058,0.030663554667829194,0.059017018150086906
200,5,6,0,31,0.2540667555253621,0.02701410122095019,0.004064095761027537,0.05223790057281861
200,5,7,0,32,0.24902948063502373,0.022489049612703347,0.007541998949607535,0.04813415185546293
200,5,8,0,27,0.23853840366392517,-0.007200413184326156,-0.001439737109181505,0.03878374940632919
200,5,9,0,32,0.22579477864861783,-0.019591053331799762,0.0015523490545810417,0.04071906269394054
200,5,10,0,28,0.20451557184807304,-0.010436166223084905,0.006377461224592437,0.04339605277650404
200,6,0,0,48,0.26281561553551464,0.017790869096170954,-0.014083870560043421,0.04117883300277195
200,6,1,0,48,0.2668791993527999,-0.01926868761451894,-0.010970210079757172,0.034614207462702606
200,6,2,0,48,0.2609647253380068,0.022049417505115222,0.0014073441691059671,0.041812844414282166
200,6,3,0,48,0.25660650689058234,-0.008985009263953585,0.012457037449750174,0.0364965656762524
200,6,4,0,48,0.25987930192722275,0.005701392477213751,0.024320359174447678,0.04449850410966854
200,6,5,0,44,0.25368884755609317,0.004564643635681545,-0.009519525390783183,0.03639446915636703
200,6,7,0,41,0.24782953002818095,-0.0267080348193233,0.003280152359844153,0.044144049441056245
200,6,8,0,39,0.22784311045081887,-0.0021939612192410558,0.00352400913411502,0.03992395738044535
200,6,9,0,40,0.21406368689231106,-0.021984720151401425,0.008071301018531714,0.04650863369589741
200,6,10,0,38,0.18752804353141306,0.004078027343565468,-0.001027003519311682,0.03126895773623747
200,7,0,0,63,0.2603531082967989,0.00569742500808123,-0.018049094780165812,0.03650503241314651
