field_size_x, field_size_y, cell_volume, cell_density, barrier_density, simulation_nr, number_of_cells, mean_speed, mean_xdir, mean_ydir, avg_group_velocity
300,300,200,1,2,0,3,0.2084572887278944,-0.09065896160035962,-0.043334266859688,0.13267098079931797
300,300,200,1,2,1,3,0.2124715560539229,-0.08928192747102626,0.11419139555909416,0.1763170988573783
300,300,200,1,0,0,3,0.217823422007516,-0.013288888888888932,0.010792411924119363,0.0903074830582819
300,300,200,1,3,0,0,NaN,NaN,NaN,NaN
300,300,200,1,2,2,3,0.21364016015040657,0.01310846579581921,0.04205366059190964,0.09963894109496702
300,300,200,1,3,2,0,NaN,NaN,NaN,NaN
300,300,200,1,4,0,3,0.2072648699398459,-0.017519897614218037,0.09520222801764372,0.13116781434689978
300,300,200,1,4,1,3,0.20261001472978915,-0.017859284881232975,0.0618809067427887,0.10353023957692019
300,300,200,1,4,2,3,0.21540917756331499,-0.10038107763430575,-0.07543664913119712,0.14951010448025823
300,300,200,1,5,0,0,NaN,NaN,NaN,NaN
300,300,200,1,5,1,0,NaN,NaN,NaN,NaN
300,300,200,1,5,2,0,NaN,NaN,NaN,NaN
300,300,200,1,6,0,3,0.21412161066596286,0.015425534146255273,0.080372218924396,0.11654350814092425
300,300,200,1,6,1,3,0.22207067211626877,0.07527964862569375,-0.012416680456100811,0.11856107817456699
300,300,200,1,6,2,3,0.20549165593564672,0.042397574870744394,-0.014004923422104902,0.10126426967096304
300,300,200,1,7,0,0,NaN,NaN,NaN,NaN
300,300,200,1,0,2,3,0.209397954255666,-0.027618693770033186,0.039118378812571665,0.09290067596120595
300,300,200,1,7,2,0,NaN,NaN,NaN,NaN
300,300,200,1,8,0,3,0.21557886756043165,0.07655589690401327,-0.014850901525658829,0.11595964632445895
300,300,200,1,8,1,3,0.21182818471442733,-0.003966004851127731,-0.018076540210174828,0.10805591692431667
300,300,200,1,8,2,3,0.21230186486694855,0.07914442917888767,0.02228271847786244,0.11851158231589598
300,300,200,1,9,0,0,NaN,NaN,NaN,NaN
300,300,200,1,9,1,0,NaN,NaN,NaN,NaN
300,300,200,1,9,2,0,NaN,NaN,NaN,NaN
300,300,200,1,10,0,3,0.20324558857097397,0.011408639013884694,-0.030584874993736036,0.08633274557420888
300,300,200,1,10,1,3,0.19477453141274886,0.04376782224998027,0.014390052505769637,0.10801587002533249
300,300,200,1,10,2,3,0.2079081723850487,0.008406581246360052,-0.09143915097392086,0.13442716686921077
300,300,200,1,11,0,0,NaN,NaN,NaN,NaN
300,300,200,1,11,1,0,NaN,NaN,NaN,NaN
300,300,200,1,11,2,0,NaN,NaN,NaN,NaN
300,300,200,1,12,0,3,0.19899003108806224,-0.024627210829742285,0.06028485516820547,0.12983533890724017
300,300,200,1,12,1,3,0.1923275828791445,-0.04360098522167508,0.05242692939244654,0.11917496453825
300,300,200,1,12,2,3,0.21845768379302177,0.0438942001396027,0.06630238593819401,0.12131898379031743
300,300,200,1,13,0,0,NaN,NaN,NaN,NaN
300,300,200,1,13,1,0,NaN,NaN,NaN,NaN
300,300,200,1,13,2,0,NaN,NaN,NaN,NaN
300,300,200,1,14,0,3,0.16803723524948544,-0.00457858529796572,-0.03129211833237019,0.11348739348104685
300,300,200,1,14,1,3,0.18859985651816794,-0.013202468731339746,-0.032000365183136474,0.10139826280766304
300,300,200,1,14,2,3,0.17846478367783797,-0.048009088346020516,0.020489018248558567,0.1263747326094284
300,300,200,1,15,0,3,0.16195303215381,0.06105954335757292,0.018454363354537262,0.11432375301994917
300,300,200,1,15,1,3,0.12678863153007602,-0.001382813948355688,-0.016311804033121623,0.0695328100398139
300,300,200,1,15,2,3,0.17969076683254975,-0.01119224422442245,0.03226056105610569,0.10861689448280737
300,300,200,2,0,0,8,0.20627310924824224,-0.12194734349830827,0.03393673647732433,0.13719022145353502
300,300,200,2,0,1,8,0.21376827334978482,0.005594952130326796,-0.05929459009816564,0.0770778797984759
300,300,200,2,0,2,8,0.20773600037622034,0.034211806313970305,0.021954415081865165,0.07048037691415023
300,300,200,2,1,0,8,0.21198426072568136,-0.02141887808129029,-0.07452383973352567,0.10126163635532691
300,300,200,2,1,1,8,0.2179801693944828,-0.0004336222717534834,0.02709075180845729,0.05978655249344772
300,300,200,2,1,2,8,0.2101416409063321,0.01645368478410314,-0.018061984173980215,0.06300757699938975
300,300,200,2,3,0,8,0.2134898122000379,0.0041300191257719,0.0046392329315307415,0.05715761855009361
300,300,200,2,3,1,8,0.20604604984544497,-0.030028428898893438,0.030909058938966557,0.08025495817996961
300,300,200,2,3,2,8,0.21332666943757814,0.03206812309184948,0.03476337534878098,0.07298175337908197
300,300,200,2,4,0,8,0.21006999442044647,-0.008084840544079406,0.03890900350786778,0.06846125673916781
300,300,200,2,4,1,8,0.20811190861735437,0.012647848501986728,-0.019615481195876,0.05568218246290904
300,300,200,2,4,2,8,0.2078117076719625,0.002376976845801337,0.026298956787889304,0.060806091929416495
300,300,200,1,7,1,0,NaN,NaN,NaN,NaN
300,300,200,2,5,1,0,NaN,NaN,NaN,NaN
300,300,200,2,5,2,0,NaN,NaN,NaN,NaN
300,300,200,2,6,0,8,0.21030182030780892,-0.07867029773372632,0.02286897804133298,0.0971907557748513
300,300,200,2,6,1,8,0.21482091792318536,0.04541340996395761,-0.003621973870377866,0.07379353286121593
300,300,200,2,6,2,8,0.21057350998299876,-0.030730744684217715,0.05865625720525911,0.0829419134674698
300,300,200,2,7,0,8,0.19426900170865527,-0.029849774723329333,0.02890112281606553,0.07190222552450384
300,300,200,2,7,1,8,0.21264345468105214,-0.0079923245413601,-0.051417233547814786,0.07196410769331882
300,300,200,2,7,2,8,0.19885384986905946,0.04925974881827895,-0.02213474611106544,0.08479153885610498
300,300,200,2,8,0,0,NaN,NaN,NaN,NaN
300,300,200,2,8,1,0,NaN,NaN,NaN,NaN
300,300,200,2,8,2,0,NaN,NaN,NaN,NaN
300,300,200,2,9,0,8,0.21423239476219108,0.043796063977510596,0.024778401820575464,0.07485233332833989
300,300,200,2,9,1,8,0.21145887637683797,0.03491364400254575,-0.016790903965989805,0.06876455517197273
300,300,200,2,9,2,8,0.21299357573924593,0.05020007896576371,0.019850081387135385,0.07866601757076787
300,300,200,2,10,0,8,0.20701540505445631,-0.0248335576803386,0.05687176691593508,0.08532333153550685
300,300,200,2,10,1,8,0.20216506185458463,0.002413331276982762,-0.01600715060293255,0.05515234601620411
300,300,200,2,10,2,8,0.2156630670063201,-0.03226251296943546,-0.01211952673627133,0.06157378256881191
300,300,200,2,11,0,0,NaN,NaN,NaN,NaN
300,300,200,2,11,1,0,NaN,NaN,NaN,NaN
300,300,200,2,11,2,0,NaN,NaN,NaN,NaN
300,300,200,2,12,0,8,0.19755483768051,-0.026524163825365907,-0.026378796064143215,0.06849484328737293
300,300,200,2,12,1,8,0.21252177323195706,0.019417898878273776,0.0333541766237745,0.07321045685810255
300,300,200,2,12,2,8,0.212308606340299,0.047659349529537036,0.001551119187224192,0.08439712244872642
300,300,200,2,13,0,6,0.2011509134143178,-0.0527372494993943,-0.00009532271094136641,0.09398799596064333
300,300,200,2,13,1,6,0.17614181242369595,-0.015467000574286169,-0.009418103063418013,0.08006756824373551
300,300,200,1,3,1,0,NaN,NaN,NaN,NaN
300,300,200,2,14,0,0,NaN,NaN,NaN,NaN
300,300,200,2,14,1,0,NaN,NaN,NaN,NaN
300,300,200,2,14,2,0,NaN,NaN,NaN,NaN
300,300,200,1,0,1,3,0.21246541241869105,0.053259593606419395,0.10163285446191679,0.14168256175906402
300,300,200,2,15,1,5,0.1535376336157443,-0.025446354813912688,-0.021838475550780105,0.07694521383138216
300,300,200,2,15,2,5,0.18860006199458385,-0.007392727333920116,-0.04967459550076772,0.0970734960907795
300,300,200,3,0,0,15,0.21170291157705204,-0.0358830416125474,0.006191264137634883,0.05340339980732711
300,300,200,3,0,1,15,0.20939979164984032,-0.04939467650259441,-0.05362281714560013,0.08247606209330767
300,300,200,3,0,2,15,0.21031095226725455,0.008213199991017947,-0.000055735318416457475,0.03921089741719193
300,300,200,2,13,2,6,0.20133828446827687,-0.04293009272852472,-0.007957468112414183,0.08263271069941913
300,300,200,3,1,1,12,0.21082784078319652,0.020572723278484594,0.012281215529552914,0.05076645679422737
300,300,200,3,1,2,12,0.20980871240290402,0.03092489567418789,-0.055902708384026896,0.0786126765930248
300,300,200,3,2,0,15,0.20728382633954354,-0.017771349555160465,-0.014403322226991196,0.04377587138673707
300,300,200,3,2,1,15,0.20941214837920605,0.013682560222443503,-0.04260880962287542,0.06035540697621437
300,300,200,3,2,2,15,0.20473741284535749,-0.015860198587320865,-0.01022472531680442,0.04259104147819886
300,300,200,3,4,0,15,0.21224860140853163,0.040971441645489534,0.05707671251245373,0.07976481529812234
300,300,200,3,4,1,15,0.20975304728836772,0.015341596514135842,0.022893015952720284,0.05258344449852485
300,300,200,3,4,2,15,0.21653693751802175,0.004422151651409618,0.029851456879441244,0.0495297131861625
300,300,200,3,5,0,12,0.21055128096567127,0.014905401781926831,0.05732042652664355,0.07338259181703632
300,300,200,3,5,1,12,0.20871435552312181,0.02380187007413168,0.02535903260544059,0.05741114594153511
300,300,200,3,5,2,12,0.20659123987086692,0.010674523576670095,-0.0009651753484523068,0.05094237401580503
300,300,200,3,6,0,15,0.20946181284124063,-0.027285142962536053,-0.030110861030742304,0.06311901998579013
300,300,200,3,6,1,15,0.21360920461357907,-0.025838458688259562,0.0033891357673257053,0.05099971719536451
300,300,200,3,6,2,15,0.2112688993367153,-0.005740573323525429,-0.007624571122041437,0.041152751148543464
300,300,200,3,7,0,0,NaN,NaN,NaN,NaN
300,300,200,3,7,1,0,NaN,NaN,NaN,NaN
300,300,200,3,7,2,0,NaN,NaN,NaN,NaN
300,300,200,3,8,0,15,0.20495771061893592,-0.0009640953561586331,-0.01390033115965029,0.03822516268222343
300,300,200,3,8,1,15,0.21048671033257985,-0.03016806279315147,0.013864769756617705,0.05177731723122379
300,300,200,3,8,2,15,0.21484489575167612,0.05215752761342959,-0.05926827052052815,0.09105799134221323
300,300,200,3,9,0,12,0.2116215984365505,-0.007921153972232023,-0.006942326722478963,0.046243774589215074
300,300,200,3,9,1,12,0.2074448575287102,-0.007318600592679456,0.017010068625923445,0.049495313455055354
300,300,200,3,9,2,12,0.2100131571014896,0.04648955272333238,-0.006885025040034989,0.07357657620159591
300,300,200,3,10,0,15,0.21310474510129365,-0.04527857494639357,-0.03714473092519314,0.07234097911301558
300,300,200,3,10,1,15,0.2043276715124267,-0.03897318011185038,0.000710968868511781,0.05732707753351796
